backbone,method,split_index,setting,analysis_unit,attribute,metric,gap_max_minus_min,eligible_groups,patient_outcome_aggregation,patient_score_aggregation
vits16,sex_erased,0,internal_test,patient,sex,auroc,0.033248899646749264,2,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,internal_test,patient,sex,auprc,0.17186205317687286,2,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,internal_test,patient,sex,brier,0.006052470352381423,2,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,internal_test,patient,sex,ece,0.015997469779267366,2,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,internal_test,patient,sex,sensitivity,0.018181818181818188,2,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,internal_test,patient,sex,fpr,0.04620707846514294,2,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,internal_test,patient,sex,fnr,0.018181818181818188,2,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,internal_test,patient,sex,ppv,0.07249780333892482,2,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,internal_test,patient,age_group,auroc,0.14188867050453424,3,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,internal_test,patient,age_group,auprc,0.33001466424262227,3,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,internal_test,patient,age_group,brier,0.032217516225738055,3,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,internal_test,patient,age_group,ece,0.013004973467772674,3,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,internal_test,patient,age_group,sensitivity,0.024390243902439046,3,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,internal_test,patient,age_group,fpr,0.36409175731000365,3,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,internal_test,patient,age_group,fnr,0.024390243902439046,3,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,internal_test,patient,age_group,ppv,0.023720349563046195,3,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,internal_test,patient,sex_age,auroc,0.1830794004707048,4,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,internal_test,patient,sex_age,auprc,0.4263255287316612,4,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,internal_test,patient,sex_age,brier,0.035166631686998386,4,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,internal_test,patient,sex_age,ece,0.01447805374067105,4,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,internal_test,patient,sex_age,sensitivity,0.0714285714285714,4,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,internal_test,patient,sex_age,fpr,0.31429325822918497,4,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,internal_test,patient,sex_age,fnr,0.0714285714285714,4,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,internal_test,patient,sex_age,ppv,0.1113527620704654,4,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,external_full,patient,sex,auroc,0.001085587323832904,2,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,external_full,patient,sex,auprc,0.06741082389468844,2,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,external_full,patient,sex,brier,0.017130702177345775,2,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,external_full,patient,sex,ece,0.03204062978586582,2,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,external_full,patient,sex,sensitivity,0.0219780219780219,2,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,external_full,patient,sex,fpr,0.024243314722303788,2,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,external_full,patient,sex,fnr,0.0219780219780219,2,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,external_full,patient,sex,ppv,0.049996627546202654,2,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,external_full,patient,age_group,auroc,0.09779356456773836,3,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,external_full,patient,age_group,auprc,0.2976419297526939,3,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,external_full,patient,age_group,brier,0.014523118308076788,3,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,external_full,patient,age_group,ece,0.03577254328931764,3,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,external_full,patient,age_group,sensitivity,0.02250130821559393,3,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,external_full,patient,age_group,fpr,0.18818002334596695,3,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,external_full,patient,age_group,fnr,0.02250130821559393,3,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,external_full,patient,age_group,ppv,0.11903289795708066,3,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,external_full,patient,sex_age,auroc,0.22259514416377146,6,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,external_full,patient,sex_age,auprc,0.4598881327110921,6,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,external_full,patient,sex_age,brier,0.07660088594372293,6,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,external_full,patient,sex_age,ece,0.06189959329659314,6,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,external_full,patient,sex_age,sensitivity,0.14057239057239057,6,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,external_full,patient,sex_age,fpr,0.2139037433155081,6,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,external_full,patient,sex_age,fnr,0.14057239057239057,6,max_image_outcome,max_calibrated_image_probability
vits16,sex_erased,0,external_full,patient,sex_age,ppv,0.23549423549423548,6,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,internal_test,patient,sex,auroc,0.03301874350261458,2,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,internal_test,patient,sex,auprc,0.17052346470773405,2,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,internal_test,patient,sex,brier,0.0060124905226477225,2,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,internal_test,patient,sex,ece,0.015906266173725536,2,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,internal_test,patient,sex,sensitivity,0.01753246753246751,2,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,internal_test,patient,sex,fpr,0.0354750784858312,2,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,internal_test,patient,sex,fnr,0.01753246753246751,2,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,internal_test,patient,sex,ppv,0.07497133349821256,2,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,internal_test,patient,age_group,auroc,0.1415124818079162,3,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,internal_test,patient,age_group,auprc,0.33295725641579954,3,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,internal_test,patient,age_group,brier,0.032292979834173736,3,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,internal_test,patient,age_group,ece,0.013202982662486408,3,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,internal_test,patient,age_group,sensitivity,0.07317073170731703,3,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,internal_test,patient,age_group,fpr,0.36472324513789844,3,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,internal_test,patient,age_group,fnr,0.07317073170731703,3,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,internal_test,patient,age_group,ppv,0.02781289506953223,3,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,internal_test,patient,sex_age,auroc,0.18159296420165982,4,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,internal_test,patient,sex_age,auprc,0.4262051739993089,4,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,internal_test,patient,sex_age,brier,0.035272262056868675,4,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,internal_test,patient,sex_age,ece,0.014253216289122024,4,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,internal_test,patient,sex_age,sensitivity,0.07407407407407407,4,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,internal_test,patient,sex_age,fpr,0.31845919145690316,4,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,internal_test,patient,sex_age,fnr,0.07407407407407407,4,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,internal_test,patient,sex_age,ppv,0.11198712791633145,4,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,external_full,patient,sex,auroc,0.00024148456597761214,2,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,external_full,patient,sex,auprc,0.06882867003982118,2,max_image_outcome,max_calibrated_image_probability
