backbone,direction,source,target,attribute,split_index,scheme,confidence_fraction,round,auroc,source_auroc,target_local_auroc,best_C,n_target_unlabelled,n_target_labelled,coordinate_space
vits16,brset_to_mbrset,brset,mbrset,age65,0,self_training,1.0,10,0.6343819422405587,0.6156130990161852,0.8704850642653126,0.1,1287,1284,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,age65,0,confident_self_training,0.5,0,0.6156130990161852,0.6156130990161852,0.8704850642653126,0.1,1287,1284,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,age65,0,confident_self_training,0.5,1,0.6064815733100603,0.6156130990161852,0.8704850642653126,0.1,1287,1284,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,age65,0,confident_self_training,0.5,2,0.5932020588701999,0.6156130990161852,0.8704850642653126,0.1,1287,1284,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,age65,0,confident_self_training,0.5,3,0.5880846358298952,0.6156130990161852,0.8704850642653126,0.1,1287,1284,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,age65,0,confident_self_training,0.5,4,0.5868573468740081,0.6156130990161852,0.8704850642653126,0.1,1287,1284,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,age65,0,confident_self_training,0.5,5,0.5847845921929546,0.6156130990161852,0.8704850642653126,0.1,1287,1284,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,age65,0,confident_self_training,0.5,6,0.5828804347826086,0.6156130990161852,0.8704850642653126,0.1,1287,1284,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,age65,0,confident_self_training,0.5,7,0.5810605760076166,0.6156130990161852,0.8704850642653126,0.1,1287,1284,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,age65,0,confident_self_training,0.5,8,0.5819705053951126,0.6156130990161852,0.8704850642653126,0.1,1287,1284,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,age65,0,confident_self_training,0.5,9,0.5864110599809584,0.6156130990161852,0.8704850642653126,0.1,1287,1284,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,age65,0,confident_self_training,0.5,10,0.5909259957156459,0.6156130990161852,0.8704850642653126,0.1,1287,1284,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,sex,0,self_training,1.0,0,0.5834205759365375,0.5834205759365375,0.7576909236109522,0.01,8524,8505,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,sex,0,self_training,1.0,1,0.5809086657459325,0.5834205759365375,0.7576909236109522,0.01,8524,8505,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,sex,0,self_training,1.0,2,0.5804908114052182,0.5834205759365375,0.7576909236109522,0.01,8524,8505,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,sex,0,self_training,1.0,3,0.5789965241426693,0.5834205759365375,0.7576909236109522,0.01,8524,8505,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,sex,0,self_training,1.0,4,0.5769926086106232,0.5834205759365375,0.7576909236109522,0.01,8524,8505,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,sex,0,self_training,1.0,5,0.5745327405970522,0.5834205759365375,0.7576909236109522,0.01,8524,8505,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,sex,0,self_training,1.0,6,0.5728952206611644,0.5834205759365375,0.7576909236109522,0.01,8524,8505,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,sex,0,self_training,1.0,7,0.570800172976061,0.5834205759365375,0.7576909236109522,0.01,8524,8505,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,sex,0,self_training,1.0,8,0.568841706834048,0.5834205759365375,0.7576909236109522,0.01,8524,8505,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,sex,0,self_training,1.0,9,0.567375774389928,0.5834205759365375,0.7576909236109522,0.01,8524,8505,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,sex,0,self_training,1.0,10,0.565586211950284,0.5834205759365375,0.7576909236109522,0.01,8524,8505,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,sex,0,confident_self_training,0.5,0,0.5834205759365375,0.5834205759365375,0.7576909236109522,0.01,8524,8505,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,sex,0,confident_self_training,0.5,1,0.5731032143395568,0.5834205759365375,0.7576909236109522,0.01,8524,8505,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,sex,0,confident_self_training,0.5,2,0.5596699732507877,0.5834205759365375,0.7576909236109522,0.01,8524,8505,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,sex,0,confident_self_training,0.5,3,0.5483639269766576,0.5834205759365375,0.7576909236109522,0.01,8524,8505,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,sex,0,confident_self_training,0.5,4,0.5372004132568928,0.5834205759365375,0.7576909236109522,0.01,8524,8505,source-training-image-standardised-patient-mean-coordinates
