backbone,direction,source,target,attribute,split_index,k,draw,method,auroc,best_C,n_heldout,coordinate_space
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,9,anchored,0.6130195938763066,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,9,target_local,0.734497849584217,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,10,source_readout,0.622937948228133,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,10,scratch,0.5533961459800446,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,10,anchored,0.6354950812948902,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,10,target_local,0.7341336009885977,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,11,source_readout,0.6211787624181789,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,11,scratch,0.5067210611236125,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,11,anchored,0.6187396458964024,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,11,target_local,0.7336857101228732,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,12,source_readout,0.621516029636345,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,12,scratch,0.5829299617404068,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,12,anchored,0.6466734659737849,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,12,target_local,0.7328438911463309,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,13,source_readout,0.6184752283973602,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,13,scratch,0.5403479518436375,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,13,anchored,0.6165649468736678,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,13,target_local,0.732252998980104,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,14,source_readout,0.6220151851192307,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,14,scratch,0.4685289213384922,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,14,anchored,0.5957191346532622,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,14,target_local,0.7355069531009696,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,15,source_readout,0.6215780868044876,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,15,scratch,0.42623831031821835,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,15,anchored,0.5132424600540707,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,15,target_local,0.7357443892225586,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,16,source_readout,0.6177413349306309,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,16,scratch,0.4691656818463896,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,16,anchored,0.5812571163383033,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,16,target_local,0.7332216304306768,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,17,source_readout,0.620949420709826,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,17,scratch,0.5572490866803732,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,17,anchored,0.6236394640419183,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,17,target_local,0.7338179188723943,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,18,source_readout,0.6224010188168126,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,18,scratch,0.49990826331665883,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,18,anchored,0.5894756439105729,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,18,target_local,0.7336830119851279,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,19,source_readout,0.6184482470199069,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,19,scratch,0.5190218711045635,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,19,anchored,0.6135376363234095,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,19,target_local,0.7324094909693329,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,0,source_readout,0.621113396407514,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,0,scratch,0.5963252433840669,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,0,anchored,0.6433155080213904,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,0,target_local,0.7320526532291237,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,1,source_readout,0.6152392705333882,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,1,scratch,0.6119073083778966,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,1,anchored,0.6315453174276704,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,1,target_local,0.7306595365418894,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,2,source_readout,0.6259536541889482,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,2,scratch,0.5782640888523242,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,2,anchored,0.6401947072535308,0.01,1267,source-training-image-standardised-patient-mean-coordinates
