backbone,direction,source,target,attribute,n_splits,statistic,estimate,ci_low,ci_high,p_value_above_zero,valid_replicates,coordinate_space
vits16,mbrset_to_brset,mbrset,brset,age65,5,self_trained_minus_source_auroc,0.010422799970229546,0.006422405801254194,0.014368239912576946,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,age65,5,remaining_penalty_after_self_training,0.23553495672919866,0.2235492979925632,0.24694150853092078,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,age65,5,self_trained_confident_auroc,0.644119006074038,0.6355853652164282,0.6527409946976314,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,age65,5,confident_self_trained_minus_source_auroc,-0.024340730166343305,-0.035345861419964854,-0.012845044084335181,1.0,2000,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,age65,5,remaining_penalty_after_confident_self_training,0.2702984868657715,0.26108858039136934,0.27941266618944854,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,5,source_auroc,0.5617718504658987,0.5334646279910537,0.5902468131730528,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,5,self_trained_auroc,0.5493889895870431,0.5217865239405887,0.5770297571842611,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,5,target_local_auroc,0.7217353865125897,0.6917482245705523,0.7502552391687769,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,5,self_trained_minus_source_auroc,-0.01238286087885565,-0.031053452460949454,0.006637626559431938,0.9090454772613693,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,5,remaining_penalty_after_self_training,0.17234639692554665,0.13727265767840954,0.20743089868872686,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,5,self_trained_confident_auroc,0.5254306839383197,0.504858639144815,0.5461079518626228,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,5,confident_self_trained_minus_source_auroc,-0.036341166527579016,-0.06300732365716666,-0.01032687475694466,0.9955022488755623,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,5,remaining_penalty_after_confident_self_training,0.19630470257427002,0.1634625944596419,0.22813115150245505,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,5,source_auroc,0.5528033697192943,0.5415888818020287,0.5641058483799624,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,5,self_trained_auroc,0.5518526081532122,0.5405744392176938,0.5628324639642011,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,5,target_local_auroc,0.7357276779900798,0.7251691943836998,0.7466165096898433,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,5,self_trained_minus_source_auroc,-0.0009507615660820923,-0.002684043349653736,0.0007407033542532579,0.8630684657671165,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,5,remaining_penalty_after_self_training,0.18387506983686752,0.17034753842626174,0.19784000234307997,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,5,self_trained_confident_auroc,0.5134595538935249,0.5014906007138957,0.5245534988803842,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,5,confident_self_trained_minus_source_auroc,-0.0393438158257694,-0.047649454471449436,-0.03105021812360921,1.0,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,5,remaining_penalty_after_confident_self_training,0.22226812409655483,0.206984388409768,0.23758473449379064,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,5,source_auroc,0.5611403125991749,0.5312460400332593,0.5926201418239739,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,5,self_trained_auroc,0.5533436805775944,0.5242006756980494,0.5822817325783486,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,5,target_local_auroc,0.8555805696604253,0.8347594814504876,0.8757590971112884,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,5,self_trained_minus_source_auroc,-0.00779663202158043,-0.01962716702046033,0.005116026826447257,0.8950524737631185,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,5,remaining_penalty_after_self_training,0.30223688908283086,0.2670994371821662,0.33709426381520075,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,5,self_trained_confident_auroc,0.4601654236750238,0.43129495957392033,0.4913959179244828,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,5,confident_self_trained_minus_source_auroc,-0.10097488892415107,-0.12875994512848965,-0.07191980266226711,1.0,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,5,remaining_penalty_after_confident_self_training,0.3954151459854015,0.3573824495780293,0.4318479681622672,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,5,source_auroc,0.5513952662611795,0.5386668962832225,0.5642012520455749,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,5,self_trained_auroc,0.5442608817898772,0.5324232162759488,0.556183685601734,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,5,target_local_auroc,0.9014234088212066,0.8938790621380751,0.9089218376447473,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,5,self_trained_minus_source_auroc,-0.007134384471302324,-0.010781663785861558,-0.0033536124527807176,1.0,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,5,remaining_penalty_after_self_training,0.35716252703132945,0.34350773006472246,0.37118667678024514,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,5,self_trained_confident_auroc,0.5513515923158665,0.5437015141886651,0.5595539010769902,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,5,confident_self_trained_minus_source_auroc,-4.367394531301638e-05,-0.011396150302132205,0.01167200930694703,0.49825087456271866,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,5,remaining_penalty_after_confident_self_training,0.35007181650534014,0.33963975762353077,0.3600844913703391,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
