backbone,setting,attribute,metric,method,n_splits,mean_method_minus_baseline,min_method_minus_baseline,max_method_minus_baseline,improved_splits,value_column,analysis_unit,patient_outcome_aggregation,patient_score_aggregation
convnext_tiny,external_full,sex,auroc,sex_erased,5,0.0020767448423193446,-0.0002717584355111935,0.007209183827241561,1,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex,brier,age_erased,5,-2.9084358783176835e-05,-0.0001100004171817881,5.90614101072251e-05,3,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex,brier,joint_erased,5,0.0005218302281938647,-1.1405500111028033e-05,0.0012926465951719202,1,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex,brier,sex_erased,5,0.0004406446643784867,1.7455765718460414e-05,0.001129198048350183,0,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex,ece,age_erased,5,5.806848941154463e-05,-0.00013812114361735905,0.00040842021711659515,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex,ece,joint_erased,5,-0.00027464716585565705,-0.002139450681969496,0.000427794992632069,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex,ece,sex_erased,5,-0.0003998026772080887,-0.002215580744664797,0.00017334349439870889,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex,fnr,age_erased,5,-0.0004884004884004867,-0.005494505494505586,0.008547008547008628,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex,fnr,joint_erased,5,-0.01086691086691085,-0.08730158730158732,0.024420024420024444,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex,fnr,sex_erased,5,-0.020268620268620263,-0.08669108669108672,-0.0030525030525029306,5,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex,fpr,age_erased,5,-0.0033610049955921538,-0.01059726711724951,0.0015243902439023849,4,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex,fpr,joint_erased,5,-0.010185865412871009,-0.03754040552453719,0.004536438436673507,4,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex,fpr,sex_erased,5,-0.005649426976197458,-0.032967234792829814,0.006244490155744908,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex,ppv,age_erased,5,-0.0020743000411246213,-0.008229476486630638,0.002486698641522622,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex,ppv,joint_erased,5,-0.004401675132024207,-0.019345670828450956,0.004382668446773652,3,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex,ppv,sex_erased,5,0.0029318159236488726,-0.0018660197798096578,0.007415771725526876,1,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex,sensitivity,age_erased,5,-0.0004884004884004867,-0.005494505494505586,0.008547008547008628,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex,sensitivity,joint_erased,5,-0.01086691086691085,-0.08730158730158732,0.024420024420024444,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex,sensitivity,sex_erased,5,-0.020268620268620263,-0.08669108669108672,-0.0030525030525029306,5,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex_age,auprc,age_erased,5,-0.0029242731845214196,-0.008997920348411792,0.0005186346384320473,3,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex_age,auprc,joint_erased,5,-0.007730727518233382,-0.026063245537158497,-0.0004873079673277658,5,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex_age,auprc,sex_erased,5,-0.00853538742866521,-0.026463449642853243,0.0009564434934759003,4,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex_age,auroc,age_erased,5,0.000344926031200532,-0.0012561581189031168,0.0023454827376394594,3,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex_age,auroc,joint_erased,5,-0.0002963837277561998,-0.010748359767967508,0.007620320855615037,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex_age,auroc,sex_erased,5,0.0003479504459897198,-0.01118591853885964,0.006954102052141309,1,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex_age,brier,age_erased,5,0.000205812506202116,-0.00013073678813473044,0.000544999865932913,1,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex_age,brier,joint_erased,5,0.001194374055238112,-5.727416236302185e-05,0.0040128074477633335,1,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex_age,brier,sex_erased,5,0.0008831820486434883,-0.0001863399750311051,0.0029574038953255055,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex_age,ece,age_erased,5,0.004356159151234046,-0.00013411474134317203,0.01614894991106766,1,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex_age,ece,joint_erased,5,-0.0010032842828443412,-0.019581722110685595,0.015690791527088105,3,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex_age,ece,sex_erased,5,0.002717238460801924,-0.0035575718949025503,0.015394003048733063,1,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex_age,fnr,age_erased,5,-0.0009408602150537737,-0.0047043010752688685,0.0,1,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex_age,fnr,joint_erased,5,0.01231671554252196,0.0,0.03633105246008461,0,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex_age,fnr,sex_erased,5,0.007266210492016922,0.0,0.03633105246008461,0,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex_age,fpr,age_erased,5,-0.0036199836199836354,-0.018099918099918177,0.0,1,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex_age,fpr,joint_erased,5,-0.01794418058109739,-0.08408425021001087,0.036281736281736365,4,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex_age,fpr,sex_erased,5,-0.014960661233785321,-0.08130231855029202,0.027190827190827216,3,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex_age,ppv,age_erased,5,9.394527041586275e-05,-0.014422048539695642,0.014891774891774956,1,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex_age,ppv,joint_erased,5,0.00697805439231316,-0.015509109626756667,0.02647907647907649,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex_age,ppv,sex_erased,5,0.012279625303829634,-0.007020496790317798,0.03158111729540303,1,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex_age,sensitivity,age_erased,5,-0.0009408602150537737,-0.0047043010752688685,0.0,1,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex_age,sensitivity,joint_erased,5,0.01231671554252196,0.0,0.03633105246008461,0,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex_age,sensitivity,sex_erased,5,0.007266210492016922,0.0,0.03633105246008461,0,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,age_group,auprc,age_erased,5,0.0008702953323937446,-0.0026359533685065273,0.002563137540502858,1,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,age_group,auprc,joint_erased,5,-0.0033613155461899693,-0.030529450619325216,0.008175805358414334,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,age_group,auprc,sex_erased,5,-0.005396899413199907,-0.03407108469517828,0.008062869485720325,3,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,age_group,auroc,age_erased,5,0.00035319246109133395,-0.0002861812362737748,0.0015369844045937109,3,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,age_group,auroc,joint_erased,5,0.0030358319343875896,-0.0006671288318628177,0.010692153657852588,1,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,age_group,auroc,sex_erased,5,0.0024130430443331853,-0.0008705048741649568,0.009581309066641008,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,age_group,brier,age_erased,5,-3.600903335140987e-05,-0.000152756070070717,2.5502577958268213e-05,4,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,age_group,brier,joint_erased,5,0.00033890648353017693,-2.3712942769378575e-05,0.0012191391179659575,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,age_group,brier,sex_erased,5,0.00021413344149886492,-7.634551471527584e-05,0.000870048634602924,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,age_group,ece,age_erased,5,-0.00019240429930718236,-0.004338954272746002,0.004141749710223529,4,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,age_group,ece,joint_erased,5,0.002696500802026593,-0.0005402304547148275,0.009582968415073452,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,age_group,ece,sex_erased,5,0.0025685731027620803,-0.00043572047524772367,0.009265078292536796,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,age_group,fnr,age_erased,5,0.0,0.0,0.0,0,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,age_group,fnr,joint_erased,5,0.0,0.0,0.0,0,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,age_group,fnr,sex_erased,5,0.0,0.0,0.0,0,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,age_group,fpr,age_erased,5,-0.00017430060908283363,-0.004640371229698403,0.0030211480362538623,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,age_group,fpr,joint_erased,5,-0.006647313414307976,-0.02005206719147079,0.0007840115709294437,4,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,age_group,fpr,sex_erased,5,-0.005728502741650154,-0.02005206719147079,0.0013951866062085205,4,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,age_group,ppv,age_erased,5,3.720319153303619e-05,-0.0016961023389676644,0.000721115325036048,1,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,age_group,ppv,joint_erased,5,-0.001563941313880271,-0.006026775101710916,0.0019634578674666003,3,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
