backbone,direction,source,target,split_index,attribute,outcome,method,status,auroc,target_local_auroc,transport_penalty,best_C,source_train_n,n,n_negative,n_positive,coordinate_space
vits16,brset_to_mbrset,brset,mbrset,0,age65,0,subspace,complete,0.34451202943082293,0.8815534792332936,0.5370414498024707,0.1,3155,986,555,431,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,0,age65,0,ot_gaussian,complete,0.604431345498631,0.8815534792332936,0.27712213373466266,0.1,3155,986,555,431,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,0,age65,0,ot_entropic,complete,0.6234443259965302,0.8815534792332936,0.2581091532367634,0.1,3155,986,555,431,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,0,age65,1,unaligned,complete,0.5892241582849318,0.7883080700760259,0.19908391179109408,10.0,235,298,181,117,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,0,age65,1,mean_variance,complete,0.5948434622467771,0.7883080700760259,0.1934646078292488,10.0,235,298,181,117,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,0,age65,1,coral,complete,0.6198233933040562,0.7883080700760259,0.16848467677196965,10.0,235,298,181,117,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,0,age65,1,subspace,complete,0.3736128819001747,0.7883080700760259,0.41469518817585116,10.0,235,298,181,117,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,0,age65,1,ot_gaussian,complete,0.6073098172545686,0.7883080700760259,0.18099825282145732,10.0,235,298,181,117,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,0,age65,1,ot_entropic,complete,0.6419700618595646,0.7883080700760259,0.14633800821646126,10.0,235,298,181,117,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,age65,0,unaligned,complete,0.7766723965047987,0.9179849770806474,0.14131258057584872,0.01,592,5268,3120,2148,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,age65,0,mean_variance,complete,0.7697258630568686,0.9179849770806474,0.14825911402377878,0.01,592,5268,3120,2148,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,age65,0,coral,complete,0.6425868727020962,0.9179849770806474,0.27539810437855117,0.01,592,5268,3120,2148,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,age65,0,subspace,complete,0.615612465979086,0.9179849770806474,0.3023725111015614,0.01,592,5268,3120,2148,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,age65,0,ot_gaussian,complete,0.6725604915723631,0.9179849770806474,0.24542448550828433,0.01,592,5268,3120,2148,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,age65,0,ot_entropic,complete,0.6851060020054434,0.9179849770806474,0.23287897507520405,0.01,592,5268,3120,2148,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,age65,1,unaligned,complete,0.6524087752177269,0.7917539411310771,0.13934516591335022,0.0001,178,381,193,188,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,age65,1,mean_variance,complete,0.6563774666519678,0.7917539411310771,0.13537647447910928,0.0001,178,381,193,188,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,age65,1,coral,complete,0.6450777202072538,0.7917539411310771,0.14667622092382326,0.0001,178,381,193,188,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,age65,1,subspace,complete,0.44661558813802227,0.7917539411310771,0.34513835299305484,0.0001,178,381,193,188,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,age65,1,ot_gaussian,complete,0.6321519126887885,0.7917539411310771,0.15960202844228866,0.0001,178,381,193,188,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,age65,1,ot_entropic,complete,0.6361206041230294,0.7917539411310771,0.1556333370080477,0.0001,178,381,193,188,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,1,sex,0,unaligned,complete,0.6227914707610931,0.732919482809286,0.11012801204819289,0.1,4772,988,656,332,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,1,sex,0,mean_variance,complete,0.6157342785777256,0.732919482809286,0.11718520423156042,0.1,4772,988,656,332,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,1,sex,0,coral,complete,0.6185442991478107,0.732919482809286,0.11437518366147525,0.1,4772,988,656,332,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,1,sex,0,subspace,complete,0.47736372318542464,0.732919482809286,0.25555575962386134,0.1,4772,988,656,332,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,1,sex,0,ot_gaussian,complete,0.6160189538642373,0.732919482809286,0.11690052894504865,0.1,4772,988,656,332,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,1,sex,0,ot_entropic,complete,0.5928684249191889,0.732919482809286,0.14005105789009709,0.1,4772,988,656,332,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,1,sex,1,unaligned,complete,0.5601577909270217,0.6568986568986569,0.09674086597163523,10.0,332,299,182,117,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,1,sex,1,mean_variance,complete,0.5521743214050906,0.6568986568986569,0.1047243354935663,10.0,332,299,182,117,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,1,sex,1,coral,complete,0.5463980463980463,0.6568986568986569,0.11050061050061055,10.0,332,299,182,117,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,1,sex,1,subspace,complete,0.5539588616511693,0.6568986568986569,0.10293979524748764,10.0,332,299,182,117,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,1,sex,1,ot_gaussian,complete,0.5517047055508595,0.6568986568986569,0.10519395134779741,10.0,332,299,182,117,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,1,sex,1,ot_entropic,complete,0.5851413543721236,0.6568986568986569,0.07175730252653334,10.0,332,299,182,117,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,sex,0,unaligned,complete,0.5713795917067355,0.7581973507416963,0.18681775903496078,0.01,593,7951,4968,2983,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,sex,0,mean_variance,complete,0.5748745035609732,0.7581973507416963,0.183322847180723,0.01,593,7951,4968,2983,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,sex,0,coral,complete,0.5832062713940456,0.7581973507416963,0.17499107934765068,0.01,593,7951,4968,2983,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,sex,0,subspace,complete,0.47552886917438214,0.7581973507416963,0.2826684815673141,0.01,593,7951,4968,2983,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,sex,0,ot_gaussian,complete,0.5933473391623926,0.7581973507416963,0.16485001157930368,0.01,593,7951,4968,2983,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,sex,0,ot_entropic,complete,0.567621581338805,0.7581973507416963,0.19057576940289123,0.01,593,7951,4968,2983,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,sex,1,unaligned,complete,0.5174863674496644,0.6853240352348993,0.1678376677852349,0.1,179,554,256,298,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,sex,1,mean_variance,complete,0.5415923867449665,0.6853240352348993,0.1437316484899328,0.1,179,554,256,298,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,sex,1,coral,complete,0.5524591023489933,0.6853240352348993,0.13286493288590595,0.1,179,554,256,298,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,sex,1,subspace,complete,0.475356543624161,0.6853240352348993,0.20996749161073824,0.1,179,554,256,298,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,sex,1,ot_gaussian,complete,0.5633782508389262,0.6853240352348993,0.12194578439597303,0.1,179,554,256,298,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,sex,1,ot_entropic,complete,0.5398621015100671,0.6853240352348993,0.14546193372483218,0.1,179,554,256,298,source-training-image-standardised-patient-mean-coordinates
