method,mean_l2_distance,covariance_frobenius_distance,covariance_relative_distance,backbone,direction,source,target,split_index,source_reference_n,target_n,source_shrinkage,target_shrinkage,subspace_components,subspace_source_variance,ot_regularisation,ot_regularisation_scale,ot_iterations,ot_variance_kept,ot_support_patients,coordinate_space
subspace,4.3842637324833416e-09,8.968078286813679,0.16119340281139927,vits16,mbrset_to_brset,mbrset,brset,1,772,8524,0.027394487087463403,0.0023535297728601774,84.0,0.9504216108946761,8.765693183931235,0.01,198.0,0.6010299306707277,772.0,source-training-image-standardised-patient-mean-coordinates
ot_gaussian,4.172264126422014e-09,1.4483247321226207,0.026032376667588286,vits16,mbrset_to_brset,mbrset,brset,1,772,8524,0.027394487087463403,0.0023535297728601774,84.0,0.9504216108946761,8.765693183931235,0.01,198.0,0.6010299306707277,772.0,source-training-image-standardised-patient-mean-coordinates
ot_entropic,8.975262821671275e-09,16.932433407314207,0.3043457551898932,vits16,mbrset_to_brset,mbrset,brset,1,772,8524,0.027394487087463403,0.0023535297728601774,84.0,0.9504216108946761,8.765693183931235,0.01,198.0,0.6010299306707277,772.0,source-training-image-standardised-patient-mean-coordinates
unaligned,22.680967570089567,79.05172641034753,1.121049850554334,vits16,brset_to_mbrset,brset,mbrset,2,5114,1287,0.004496362924867938,0.014354110590929057,102.0,0.950604212310348,10.762826931982948,0.01,234.0,0.4516059114265642,3000.0,source-training-image-standardised-patient-mean-coordinates
mean_variance,1.2113047504450987e-08,74.12329876865573,1.0511587384677137,vits16,brset_to_mbrset,brset,mbrset,2,5114,1287,0.004496362924867938,0.014354110590929057,102.0,0.950604212310348,10.762826931982948,0.01,234.0,0.4516059114265642,3000.0,source-training-image-standardised-patient-mean-coordinates
coral,1.1708179108136736e-08,3.669216490091732,0.052033962882946115,vits16,brset_to_mbrset,brset,mbrset,2,5114,1287,0.004496362924867938,0.014354110590929057,102.0,0.950604212310348,10.762826931982948,0.01,234.0,0.4516059114265642,3000.0,source-training-image-standardised-patient-mean-coordinates
subspace,1.1488367853147309e-08,8.99085663037084,0.12750130755542047,vits16,brset_to_mbrset,brset,mbrset,2,5114,1287,0.004496362924867938,0.014354110590929057,102.0,0.950604212310348,10.762826931982948,0.01,234.0,0.4516059114265642,3000.0,source-training-image-standardised-patient-mean-coordinates
ot_gaussian,1.1914920232471318e-08,0.9764630021306643,0.01384743575273937,vits16,brset_to_mbrset,brset,mbrset,2,5114,1287,0.004496362924867938,0.014354110590929057,102.0,0.950604212310348,10.762826931982948,0.01,234.0,0.4516059114265642,3000.0,source-training-image-standardised-patient-mean-coordinates
ot_entropic,0.18107667567422808,29.28240498637744,0.4152602001814472,vits16,brset_to_mbrset,brset,mbrset,2,5114,1287,0.004496362924867938,0.014354110590929057,102.0,0.950604212310348,10.762826931982948,0.01,234.0,0.4516059114265642,3000.0,source-training-image-standardised-patient-mean-coordinates
unaligned,20.517781361369178,65.00220439448387,1.1741169393472906,vits16,mbrset_to_brset,mbrset,brset,2,772,8524,0.027216409074271777,0.0023525311718999966,84.0,0.950204825177196,8.780250687416949,0.01,297.0,0.600071601956683,772.0,source-training-image-standardised-patient-mean-coordinates
mean_variance,4.290953862303521e-09,56.0132141937401,1.0117512817417509,vits16,mbrset_to_brset,mbrset,brset,2,772,8524,0.027216409074271777,0.0023525311718999966,84.0,0.950204825177196,8.780250687416949,0.01,297.0,0.600071601956683,772.0,source-training-image-standardised-patient-mean-coordinates
coral,4.1620181585226126e-09,1.6075077640136273,0.02903597060195781,vits16,mbrset_to_brset,mbrset,brset,2,772,8524,0.027216409074271777,0.0023525311718999966,84.0,0.950204825177196,8.780250687416949,0.01,297.0,0.600071601956683,772.0,source-training-image-standardised-patient-mean-coordinates
subspace,4.2659661268907516e-09,9.809014055823424,0.1771775229551336,vits16,mbrset_to_brset,mbrset,brset,2,772,8524,0.027216409074271777,0.0023525311718999966,84.0,0.950204825177196,8.780250687416949,0.01,297.0,0.600071601956683,772.0,source-training-image-standardised-patient-mean-coordinates
ot_gaussian,4.171172711453649e-09,1.431833618240656,0.025862816825423515,vits16,mbrset_to_brset,mbrset,brset,2,772,8524,0.027216409074271777,0.0023525311718999966,84.0,0.950204825177196,8.780250687416949,0.01,297.0,0.600071601956683,772.0,source-training-image-standardised-patient-mean-coordinates
ot_entropic,5.030734177370713e-09,16.906151968435296,0.30537117302753947,vits16,mbrset_to_brset,mbrset,brset,2,772,8524,0.027216409074271777,0.0023525311718999966,84.0,0.950204825177196,8.780250687416949,0.01,297.0,0.600071601956683,772.0,source-training-image-standardised-patient-mean-coordinates
unaligned,22.576166735305637,78.99371318852386,1.1200830970420566,vits16,brset_to_mbrset,brset,mbrset,3,5114,1287,0.00446799179091276,0.014330675750293871,102.0,0.9506151816721002,10.707480909914882,0.01,249.0,0.45933417566590495,3000.0,source-training-image-standardised-patient-mean-coordinates
mean_variance,1.213829263699631e-08,74.14270594655932,1.0512987470471957,vits16,brset_to_mbrset,brset,mbrset,3,5114,1287,0.00446799179091276,0.014330675750293871,102.0,0.9506151816721002,10.707480909914882,0.01,249.0,0.45933417566590495,3000.0,source-training-image-standardised-patient-mean-coordinates
coral,1.1545563650674541e-08,3.617523767665425,0.05129430003676038,vits16,brset_to_mbrset,brset,mbrset,3,5114,1287,0.00446799179091276,0.014330675750293871,102.0,0.9506151816721002,10.707480909914882,0.01,249.0,0.45933417566590495,3000.0,source-training-image-standardised-patient-mean-coordinates
subspace,1.2262470253623259e-08,8.641080122946553,0.12252529214318095,vits16,brset_to_mbrset,brset,mbrset,3,5114,1287,0.00446799179091276,0.014330675750293871,102.0,0.9506151816721002,10.707480909914882,0.01,249.0,0.45933417566590495,3000.0,source-training-image-standardised-patient-mean-coordinates
ot_gaussian,1.1661239112041782e-08,0.9655490302433617,0.013690901522249973,vits16,brset_to_mbrset,brset,mbrset,3,5114,1287,0.00446799179091276,0.014330675750293871,102.0,0.9506151816721002,10.707480909914882,0.01,249.0,0.45933417566590495,3000.0,source-training-image-standardised-patient-mean-coordinates
ot_entropic,0.2659516457495175,28.95470988517263,0.41056028148389484,vits16,brset_to_mbrset,brset,mbrset,3,5114,1287,0.00446799179091276,0.014330675750293871,102.0,0.9506151816721002,10.707480909914882,0.01,249.0,0.45933417566590495,3000.0,source-training-image-standardised-patient-mean-coordinates
unaligned,20.688577770176497,65.6593063978125,1.1721981081697552,vits16,mbrset_to_brset,mbrset,brset,3,772,8524,0.026678769393906596,0.0023551198689572696,84.0,0.9505288117340771,8.866646753804476,0.01,231.0,0.5937526437375811,772.0,source-training-image-standardised-patient-mean-coordinates
mean_variance,4.158793407197757e-09,56.49148792349216,1.0085274868791216,vits16,mbrset_to_brset,mbrset,brset,3,772,8524,0.026678769393906596,0.0023551198689572696,84.0,0.9505288117340771,8.866646753804476,0.01,231.0,0.5937526437375811,772.0,source-training-image-standardised-patient-mean-coordinates
coral,4.312667182797681e-09,1.6019630904751219,0.028599420356887496,vits16,mbrset_to_brset,mbrset,brset,3,772,8524,0.026678769393906596,0.0023551198689572696,84.0,0.9505288117340771,8.866646753804476,0.01,231.0,0.5937526437375811,772.0,source-training-image-standardised-patient-mean-coordinates
subspace,4.292669148418874e-09,8.907348283861614,0.15902051635896594,vits16,mbrset_to_brset,mbrset,brset,3,772,8524,0.026678769393906596,0.0023551198689572696,84.0,0.9505288117340771,8.866646753804476,0.01,231.0,0.5937526437375811,772.0,source-training-image-standardised-patient-mean-coordinates
ot_gaussian,4.505497634732357e-09,1.4204882421787657,0.025359598227720607,vits16,mbrset_to_brset,mbrset,brset,3,772,8524,0.026678769393906596,0.0023551198689572696,84.0,0.9505288117340771,8.866646753804476,0.01,231.0,0.5937526437375811,772.0,source-training-image-standardised-patient-mean-coordinates
ot_entropic,9.138812894842305e-09,17.303612601230412,0.3089167867959748,vits16,mbrset_to_brset,mbrset,brset,3,772,8524,0.026678769393906596,0.0023551198689572696,84.0,0.9505288117340771,8.866646753804476,0.01,231.0,0.5937526437375811,772.0,source-training-image-standardised-patient-mean-coordinates
unaligned,22.607407063433534,78.68758380889558,1.115182252285339,vits16,brset_to_mbrset,brset,mbrset,4,5114,1287,0.004529404763106219,0.014355849418782082,102.0,0.9504853195467141,10.723853003830346,0.01,194.0,0.4508948961915267,3000.0,source-training-image-standardised-patient-mean-coordinates
mean_variance,1.2120798133839426e-08,74.0122869262184,1.0489226487322667,vits16,brset_to_mbrset,brset,mbrset,4,5114,1287,0.004529404763106219,0.014355849418782082,102.0,0.9504853195467141,10.723853003830346,0.01,194.0,0.4508948961915267,3000.0,source-training-image-standardised-patient-mean-coordinates
coral,1.288679347563707e-08,3.6442581013454673,0.0516474361093306,vits16,brset_to_mbrset,brset,mbrset,4,5114,1287,0.004529404763106219,0.014355849418782082,102.0,0.9504853195467141,10.723853003830346,0.01,194.0,0.4508948961915267,3000.0,source-training-image-standardised-patient-mean-coordinates
