backbone,attribute,target,direction,n_splits,statistic,method,estimate,ci_low,ci_high,p_value_above_zero,valid_replicates,coordinate_space
vits16,sex,mbrset,brset_to_mbrset_sizematched,5,aligned_minus_unaligned_external_auroc,mean_variance,-0.0021022585326181814,-0.006300972308332423,0.0019906347829119005,0.8435782108945528,2000,source-training-image-standardised-patient-mean-coordinates
vits16,sex,mbrset,brset_to_mbrset_sizematched,5,aligned_minus_unaligned_external_auroc,coral,0.003910572951826144,-0.014974102377046177,0.021926968443107625,0.33233383308345826,2000,source-training-image-standardised-patient-mean-coordinates
vits16,sex,mbrset,brset_to_mbrset_sizematched,5,aligned_minus_unaligned_external_auroc,subspace,-0.0976266537678532,-0.1234313474771815,-0.07260412622229662,1.0,2000,source-training-image-standardised-patient-mean-coordinates
vits16,sex,mbrset,brset_to_mbrset_sizematched,5,aligned_minus_unaligned_external_auroc,ot_gaussian,0.005073060792745512,-0.01350963357467244,0.02391774807331799,0.2898550724637681,2000,source-training-image-standardised-patient-mean-coordinates
vits16,sex,mbrset,brset_to_mbrset_sizematched,5,aligned_minus_unaligned_external_auroc,ot_entropic,-0.009791049853559455,-0.03290596993926501,0.013918413807106933,0.7866066966516742,2000,source-training-image-standardised-patient-mean-coordinates
vits16,sex,mbrset,brset_to_mbrset_sizematched,5,sizematched_minus_full_external_auroc,unaligned,-0.047739606975990126,-0.06554371736062779,-0.02941591093862624,1.0,2000,source-training-image-standardised-patient-mean-coordinates
vits16,sex,mbrset,brset_to_mbrset_sizematched,5,sizematched_minus_full_transport_penalty,unaligned,0.04685033301263486,0.027953223308369246,0.06474526302054612,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,sex,brset,mbrset_to_brset,5,target_local_auroc,target_local,0.7613658714404201,0.7511350767889976,0.7720856379048784,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,sex,brset,mbrset_to_brset,5,external_auroc,unaligned,0.5963028117244724,0.5864134975717564,0.6060313256990391,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,sex,brset,mbrset_to_brset,5,transport_penalty,unaligned,0.1650630597159477,0.15409204821635997,0.1767422845168231,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,sex,brset,mbrset_to_brset,5,external_auroc,mean_variance,0.6003117279729735,0.5903159274345324,0.6105234904258505,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,sex,brset,mbrset_to_brset,5,transport_penalty,mean_variance,0.1610541434674466,0.14951047817717636,0.17287691736155406,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
