backbone,direction,source,target,split_index,attribute,best_C,source_train_n,source_train_positive,source_validation_n,size_capped,probe_coefficient_cosine,centroid_direction_cosine,coordinate_space
convnext_tiny,brset_to_mbrset,brset,mbrset,0,age65,0.1,3390,1402,1110,False,0.0766975588028102,0.023608200558849764,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,0,age65,0.1,770,323,256,False,0.062963564596793,0.05656771801644439,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,0,age65,0.01,770,318,256,True,0.15002408119080274,0.0005504882317186582,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,1,sex,0.1,5104,1991,1701,False,0.07017033925786492,0.39263779570266266,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,1,sex,0.1,772,259,257,False,0.0388110116778438,0.3931307278646355,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,1,sex,0.1,772,301,257,True,0.062336548505153536,0.21729331165570598,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,1,age65,0.1,3388,1390,1125,False,0.050561997852202084,0.05581903685678567,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,1,age65,0.01,770,327,256,False,0.09494790287218133,0.0731737653779993,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,1,age65,0.1,770,316,256,True,0.020762996146446562,0.07415365159189495,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,2,sex,0.1,5104,1959,1700,False,0.06685244819980489,0.36239635911000384,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,2,sex,0.1,772,265,257,False,0.04510578831958243,0.40719419188132944,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,2,sex,0.1,772,296,257,True,0.0838121078990185,0.45996443432465,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,2,age65,0.1,3406,1365,1138,False,0.07414244663609695,0.049554089800445275,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,2,age65,0.1,770,331,256,False,0.07879758159555003,0.06789485807725743,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,2,age65,0.1,770,309,256,True,0.0066402729626035065,0.05092247582946932,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,3,sex,0.1,5105,1987,1699,False,0.07823981053419281,0.4642321716695093,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,3,sex,1.0,772,281,257,False,0.03216015645715755,0.43818580359365544,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,3,sex,0.01,772,300,257,True,0.1407972193901496,0.278793448852264,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,3,age65,0.1,3354,1379,1119,False,0.07248700696124125,0.03111588925265031,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,3,age65,0.01,770,320,256,False,0.11836590973577463,0.03036684239596455,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,3,age65,0.01,770,317,256,True,0.0867892891360525,0.09064374221304039,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,4,sex,0.1,5102,1965,1702,False,0.07630778734675492,0.3171751500159916,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,4,sex,10.0,772,280,257,False,0.03813228850167083,0.4716708333378512,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,4,sex,1.0,772,297,257,True,0.05502794286852606,0.18351658433060541,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,4,age65,0.1,3403,1405,1100,False,0.03207008910765834,0.04423471897942824,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,4,age65,0.1,770,332,257,False,0.05456118335141629,0.06371345784609098,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,4,age65,0.1,770,318,257,True,0.0020967330919970245,0.12412235078087852,source-training-image-standardised-patient-mean-coordinates
