backbone,direction,source,target,split_index,attribute,best_C,source_train_n,source_train_positive,source_validation_n,size_capped,method,target_local_auroc,external_auroc,transport_penalty,n,n_negative,n_positive,coordinate_space
vits16,brset_to_mbrset_sizematched,brset,mbrset,1,sex,0.1,772,301,257,True,coral,0.7346423502772004,0.5961590593788371,0.1384832908983633,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,1,age65,0.1,3388,1390,1125,False,unaligned,0.875133886067915,0.6510358814662012,0.2240980046017138,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,1,age65,0.1,3388,1390,1125,False,mean_variance,0.875133886067915,0.6068807521421771,0.2682531339257379,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,1,age65,0.1,3388,1390,1125,False,coral,0.875133886067915,0.6064443827356394,0.2686895033322756,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,age65,0.01,770,327,256,False,unaligned,0.9124502788930283,0.622990223238467,0.28946005565456134,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,age65,0.01,770,327,256,False,mean_variance,0.9124502788930283,0.633624053645043,0.2788262252479853,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,age65,0.01,770,327,256,False,coral,0.9124502788930283,0.6322155043022714,0.28023477459075696,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,1,age65,0.01,770,316,256,True,unaligned,0.8702247302443669,0.6916603855918756,0.17856434465249127,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,1,age65,0.01,770,316,256,True,mean_variance,0.8702247302443669,0.6922628728974928,0.17796185734687409,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,1,age65,0.01,770,316,256,True,coral,0.8702247302443669,0.6308389201840686,0.23938581006029824,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,sex,0.1,5104,1959,1700,False,unaligned,0.7394209354120267,0.6224891166261808,0.11693181878584591,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,sex,0.1,5104,1959,1700,False,mean_variance,0.7394209354120267,0.6186407343818935,0.1207802010301332,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,sex,0.1,5104,1959,1700,False,coral,0.7394209354120267,0.6218432900478921,0.11757764536413462,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,2,sex,0.1,772,265,257,False,unaligned,0.7628467747619245,0.6091600999396498,0.15368667482227472,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,2,sex,0.1,772,265,257,False,mean_variance,0.7628467747619245,0.6068354132312218,0.15601136153070272,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,2,sex,0.1,772,265,257,False,coral,0.7628467747619245,0.5820898831408083,0.1807568916211162,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,2,sex,0.01,772,296,257,True,unaligned,0.7367844746479846,0.6046079593474759,0.13217651530050867,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,2,sex,0.01,772,296,257,True,mean_variance,0.7367844746479846,0.606896258458202,0.12988821618978252,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,2,sex,0.01,772,296,257,True,coral,0.7367844746479846,0.6163338312133566,0.12045064343462797,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,age65,1.0,3406,1365,1138,False,unaligned,0.8607411337670582,0.6036377340526816,0.25710339971437657,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,age65,1.0,3406,1365,1138,False,mean_variance,0.8607411337670582,0.5433989209774674,0.31734221278959074,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,age65,1.0,3406,1365,1138,False,coral,0.8607411337670582,0.5942681886702634,0.26647294509679476,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,2,age65,0.1,770,331,256,False,unaligned,0.9152691865585552,0.6633113533651163,0.2519578331934389,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,2,age65,0.1,770,331,256,False,mean_variance,0.9152691865585552,0.6636690145504014,0.25160017200815377,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,2,age65,0.1,770,331,256,False,coral,0.9152691865585552,0.6202011637426659,0.2950680228158893,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,2,age65,0.01,770,309,256,True,unaligned,0.8681693311647096,0.6309628887654712,0.23720644239923838,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,2,age65,0.01,770,309,256,True,mean_variance,0.8681693311647096,0.6298198984449381,0.2383494327197715,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,2,age65,0.01,770,309,256,True,coral,0.8681693311647096,0.6052765986988258,0.26289273246588385,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,3,sex,0.1,5105,1987,1699,False,unaligned,0.7424746586155392,0.6549585129510819,0.08751614566445731,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,3,sex,0.1,5105,1987,1699,False,mean_variance,0.7424746586155392,0.6473175606359399,0.09515709797959926,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,3,sex,0.1,5105,1987,1699,False,coral,0.7424746586155392,0.629000536859954,0.11347412175558513,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,3,sex,1.0,772,281,257,False,unaligned,0.7598662516050227,0.6065326117751609,0.1533336398298618,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,3,sex,1.0,772,281,257,False,mean_variance,0.7598662516050227,0.6062823775853643,0.15358387401965845,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,3,sex,1.0,772,281,257,False,coral,0.7598662516050227,0.5988604163467512,0.1610058352582715,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,3,sex,0.01,772,300,257,True,unaligned,0.7370715086827796,0.5907479362784442,0.14632357240433536,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,3,sex,0.01,772,300,257,True,mean_variance,0.7370715086827796,0.5915798034348406,0.14549170524793897,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,3,sex,0.01,772,300,257,True,coral,0.7370715086827796,0.5901579218735881,0.14691358680919153,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,3,age65,0.1,3354,1379,1119,False,unaligned,0.8738346953348143,0.635219969850841,0.23861472548397333,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,3,age65,0.1,3354,1379,1119,False,mean_variance,0.8738346953348143,0.6001319025706124,0.27370279276420184,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,3,age65,0.1,3354,1379,1119,False,coral,0.8738346953348143,0.6057352824500158,0.26809941288479844,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,3,age65,0.01,770,320,256,False,unaligned,0.9125793625361278,0.6939416485079533,0.21863771402817456,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,3,age65,0.01,770,320,256,False,mean_variance,0.9125793625361278,0.6980614712072408,0.214517891328887,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,3,age65,0.01,770,320,256,False,coral,0.9125793625361278,0.6278522445823633,0.2847271179537645,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,3,age65,0.01,770,317,256,True,unaligned,0.8691883529038401,0.5881019914312916,0.2810863614725485,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,3,age65,0.01,770,317,256,True,mean_variance,0.8691883529038401,0.5905540899714377,0.27863426293240245,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,3,age65,0.01,770,317,256,True,coral,0.8691883529038401,0.5737563471913678,0.2954320057124723,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,4,sex,0.1,5102,1965,1702,False,unaligned,0.7430832770782061,0.648202582243224,0.09488069483498207,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,4,sex,0.1,5102,1965,1702,False,mean_variance,0.7430832770782061,0.6446943884846197,0.09838888859358641,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,4,sex,0.1,5102,1965,1702,False,coral,0.7430832770782061,0.618925110694144,0.12415816638406207,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,4,sex,0.1,772,280,257,False,unaligned,0.7635135213977362,0.6194438558259,0.1440696655718362,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,4,sex,0.1,772,280,257,False,mean_variance,0.7635135213977362,0.6230444510203768,0.14046907037735945,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
