backbone,direction,source,target,split_index,attribute,best_C,source_train_n,source_train_positive,source_validation_n,size_capped,evaluation,method,auroc,n,n_negative,n_positive,coordinate_space
vits16,mbrset_to_brset,mbrset,brset,1,sex,0.1,772,259,257,False,source_internal,unaligned,0.6623724489795917,258,160,98,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,sex,0.1,772,259,257,False,target_local_cv,target_local,0.7629118858264647,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,sex,0.1,772,259,257,False,target_external,unaligned,0.5629569151451137,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,sex,0.1,772,259,257,False,target_external,mean_variance,0.5760233522349898,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,sex,0.1,772,259,257,False,target_external,coral,0.5841677195678119,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,1,sex,0.1,772,301,257,True,source_internal,unaligned,0.7013650239023173,1700,1063,637,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,1,sex,0.1,772,301,257,True,target_local_cv,target_local,0.7346423502772004,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,1,sex,0.1,772,301,257,True,target_external,unaligned,0.5795110853607327,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,1,sex,0.1,772,301,257,True,target_external,mean_variance,0.5818179885292695,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,1,sex,0.1,772,301,257,True,target_external,coral,0.5961590593788371,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,1,age65,0.1,3388,1390,1125,False,source_internal,unaligned,0.9072557999223361,1136,673,463,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,1,age65,0.1,3388,1390,1125,False,target_local_cv,target_local,0.875133886067915,1284,736,548,source-training-image-standardised-patient-mean-coordinates
